"Date","Price","Open","High","Low","Vol.","Change %"
"07-02-2008","6,245.48","6,245.48","6,245.48","6,245.48","","-3.56%"
"06-02-2008","6,475.74","6,475.74","6,475.74","6,475.74","","-2.94%"
"05-02-2008","6,672.07","6,672.07","6,672.07","6,672.07","","0.37%"
"04-02-2008","6,647.28","6,647.28","6,647.28","6,647.28","","2.81%"
"01-02-2008","6,465.46","6,465.46","6,465.46","6,465.46","","3.52%"
"31-01-2008","6,245.45","6,245.45","6,245.45","6,245.45","","-0.58%"
"30-01-2008","6,282.15","6,282.15","6,282.15","6,282.15","","-2.14%"
"29-01-2008","6,419.74","6,419.74","6,419.74","6,419.74","","0.13%"
"28-01-2008","6,411.61","6,411.61","6,411.61","6,411.61","","-2.03%"
"25-01-2008","6,544.40","6,544.40","6,544.40","6,544.40","","6.95%"
"24-01-2008","6,119.07","6,119.07","6,119.07","6,119.07","","-3.27%"
"23-01-2008","6,325.66","6,325.66","6,325.66","6,325.66","","6.22%"
"22-01-2008","5,955.22","5,955.22","5,955.22","5,955.22","","-5.94%"
"21-01-2008","6,331.44","6,331.44","6,331.44","6,331.44","","-8.70%"
"18-01-2008","6,934.95","6,934.95","6,934.95","6,934.95","","-3.52%"
"17-01-2008","7,187.64","7,187.64","7,187.64","7,187.64","","-0.38%"
"16-01-2008","7,215.08","7,215.08","7,215.08","7,215.08","","-2.28%"
"15-01-2008","7,383.38","7,383.38","7,383.38","7,383.38","","-2.14%"
"14-01-2008","7,544.53","7,544.53","7,544.53","7,544.53","","0.11%"
"11-01-2008","7,536.23","7,536.23","7,536.23","7,536.23","","0.70%"
"10-01-2008","7,483.81","7,483.81","7,483.81","7,483.81","","-1.83%"
"09-01-2008","7,623.64","7,623.64","7,623.64","7,623.64","","-0.25%"
"08-01-2008","7,642.89","7,642.89","7,642.89","7,642.89","","0.22%"
"07-01-2008","7,626.41","7,626.41","7,626.41","7,626.41","","0.00%"
"04-01-2008","7,626.41","7,626.41","7,626.41","7,626.41","","1.55%"
