date,market
08/09/2003,2313.89
09/09/2003,2303.42
10/09/2003,2319.8
11/09/2003,2329.06
12/09/2003,2285.05
15/09/2003,2230.07
16/09/2003,2286.82
17/09/2003,2282.59
18/09/2003,2227.13
19/09/2003,2234.64
22/09/2003,2223.96
23/09/2003,2239.47
24/09/2003,2290.87
25/09/2003,2289.74
26/09/2003,2378.74
29/09/2003,2415.24
30/09/2003,2456.93
01/10/2003,2454.44
03/10/2003,2473.21
06/10/2003,2516.89
07/10/2003,2518.27
08/10/2003,2542.76
09/10/2003,2558.15
10/10/2003,2576.55
13/10/2003,2629.65
14/10/2003,2552.19
15/10/2003,2608.71
16/10/2003,2647.15
17/10/2003,2648.72
20/10/2003,2585.25
21/10/2003,2509.78
22/10/2003,2483.77
23/10/2003,2484.23
24/10/2003,2537.22
27/10/2003,2522.78
28/10/2003,2533.93
29/10/2003,2558.71
30/10/2003,2593.08
31/10/2003,2656.17
03/11/2003,2650.62
04/11/2003,2680.48
05/11/2003,2669.25
06/11/2003,2700.28
07/11/2003,2678.52
10/11/2003,2671.41
11/11/2003,2726.4
12/11/2003,2752.18
13/11/2003,2706.83
14/11/2003,2674.02
17/11/2003,2726.15
18/11/2003,2725.69
19/11/2003,2695.17
20/11/2003,2658.83
21/11/2003,2658.76
24/11/2003,2678.36
25/11/2003,2724.02
27/11/2003,2753.27
28/11/2003,2801.22
01/12/2003,2843.72
02/12/2003,2860.98
03/12/2003,2902.26
04/12/2003,2939.16
05/12/2003,2916.1
08/12/2003,2972.39
09/12/2003,3025.64
10/12/2003,2980.78
11/12/2003,2993.1
12/12/2003,3019.64
15/12/2003,3068.38
16/12/2003,3054.56
17/12/2003,3060.86
18/12/2003,3107.16
19/12/2003,3124.3
22/12/2003,3196.29
23/12/2003,3217.28
24/12/2003,3285.71
26/12/2003,3340.33
29/12/2003,3402.82
30/12/2003,3381.26
31/12/2003,3405.68
01/01/2004,3479.23
02/01/2004,3507.56
05/01/2004,3473.61
06/01/2004,3452.22
07/01/2004,3411.87
08/01/2004,3558.01
09/01/2004,3591.36
12/01/2004,3579.19
13/01/2004,3599.78
14/01/2004,3636.9
15/01/2004,3598.91
16/01/2004,3476
19/01/2004,3486.86
20/01/2004,3481.11
21/01/2004,3324.74
22/01/2004,3249.64
23/01/2004,3391.71
27/01/2004,3580.28
28/01/2004,3508.39
29/01/2004,3478.02
30/01/2004,3367.66
03/02/2004,3216.19
04/02/2004,3283.38
05/02/2004,3295.31
06/02/2004,3393.73
09/02/2004,3452.33
10/02/2004,3442.73
11/02/2004,3478.82
12/02/2004,3511.11
13/02/2004,3562.6
16/02/2004,3594.93
17/02/2004,3608.13
18/02/2004,3586.1
19/02/2004,3513.11
20/02/2004,3478.32
23/02/2004,3393.59
24/02/2004,3402.34
25/02/2004,3364.11
26/02/2004,3312.69
27/02/2004,3330.61
01/03/2004,3389.38
03/03/2004,3406.59
04/03/2004,3388.56
05/03/2004,3417.54
08/03/2004,3477.49
09/03/2004,3455.47
10/03/2004,3426.32
11/03/2004,3375.45
12/03/2004,3376.28
15/03/2004,3280.82
16/03/2004,3237.16
17/03/2004,3271.94
18/03/2004,3225.98
19/03/2004,3250.48
22/03/2004,3157.3
23/03/2004,3124.59
24/03/2004,3137.17
25/03/2004,3185.86
26/03/2004,3292.8
29/03/2004,3343.24
30/03/2004,3369.82
31/03/2004,3392.06
01/04/2004,3475.12
02/04/2004,3521.47
05/04/2004,3558.46
06/04/2004,3541.25
07/04/2004,3540.11
08/04/2004,3582.22
12/04/2004,3585.85
13/04/2004,3651.37
15/04/2004,3694.05
16/04/2004,3729.55
19/04/2004,3711.5
20/04/2004,3690.7
21/04/2004,3749.26
22/04/2004,3804.16
23/04/2004,3839.92
27/04/2004,3652.26
28/04/2004,3653.87
29/04/2004,3675.5
30/04/2004,3639.82
03/05/2004,3548.9
04/05/2004,3661.02
05/05/2004,3653.91
06/05/2004,3735.9
07/05/2004,3706.99
10/05/2004,3634.87
11/05/2004,3448.56
12/05/2004,3478.94
13/05/2004,3449.27
14/05/2004,3058.39
17/05/2004,2685.09
18/05/2004,2914.86
19/05/2004,3111.35
20/05/2004,3137.93
21/05/2004,3098.29
24/05/2004,3162.22
25/05/2004,3141.8
26/05/2004,3173.32
27/05/2004,3137.63
28/05/2004,2988.64
31/05/2004,2846.91
01/06/2004,2893.28
02/06/2004,2950.89
03/06/2004,2930.89
04/06/2004,2953.67
07/06/2004,2985.01
08/06/2004,2982.44
09/06/2004,3007.39
10/06/2004,3002.08
11/06/2004,2941.47
14/06/2004,2861.33
15/06/2004,2889.86
16/06/2004,2897.66
17/06/2004,2908.07
18/06/2004,2892.6
21/06/2004,2845.93
22/06/2004,2817.33
23/06/2004,2746.86
24/06/2004,2762.91
25/06/2004,2805.74
28/06/2004,2866.95
29/06/2004,2895.33
30/06/2004,2903.35
01/07/2004,2944.44
02/07/2004,2953.55
05/07/2004,2912.56
06/07/2004,2930.17
07/07/2004,2932.88
08/07/2004,2863.54
09/07/2004,2927.19
12/07/2004,2971.94
13/07/2004,2968.49
14/07/2004,2971.38
15/07/2004,2991.31
16/07/2004,3040.37
19/07/2004,3066.43
20/07/2004,3047.1
21/07/2004,3057.24
22/07/2004,3113.16
23/07/2004,3129.08
26/07/2004,3138.53
27/07/2004,3076.2
28/07/2004,3053.79
29/07/2004,3081.99
30/07/2004,3082.11
02/08/2004,3086.46
03/08/2004,3100.97
04/08/2004,3103.78
05/08/2004,3161.24
06/08/2004,3140.9
09/08/2004,3144.84
10/08/2004,3144.54
11/08/2004,3084.37
12/08/2004,3064.84
13/08/2004,3060.17
16/08/2004,3045.53
17/08/2004,3066.13
18/08/2004,3059.46
19/08/2004,3068.86
20/08/2004,3044.25
23/08/2004,3010.95
24/08/2004,3029.35
25/08/2004,3045.65
26/08/2004,3080.4
27/08/2004,3117.6
30/08/2004,3186.95
31/08/2004,3199
01/09/2004,3234.75
02/09/2004,3237.5
03/09/2004,3277.45
06/09/2004,3319.7
07/09/2004,3340.9
08/09/2004,3341.05
09/09/2004,3304
10/09/2004,3323.8
13/09/2004,3322.65
14/09/2004,3328.05
15/09/2004,3337.05
16/09/2004,3386.45
17/09/2004,3415.35
20/09/2004,3420.4
21/09/2004,3454.85
22/09/2004,3515.7
23/09/2004,3472.95
24/09/2004,3482.05
27/09/2004,3488.25
28/09/2004,3469.75
29/09/2004,3493.5
30/09/2004,3504.25
01/10/2004,3523.35
04/10/2004,3545.45
05/10/2004,3598.85
06/10/2004,3589.95
07/10/2004,3594.15
08/10/2004,3598.4
11/10/2004,3573
12/10/2004,3505.15
14/10/2004,3489.95
15/10/2004,3485.3
18/10/2004,3486.5
19/10/2004,3516.8
20/10/2004,3496.1
21/10/2004,3479.8
25/10/2004,3417.6
26/10/2004,3440.15
27/10/2004,3489.45
28/10/2004,3487.6
29/10/2004,3481.55
01/11/2004,3507.15
02/11/2004,3540.05
03/11/2004,3592.7
04/11/2004,3607.4
05/11/2004,3606.15
08/11/2004,3595.55
09/11/2004,3566.85
10/11/2004,3588.8
11/11/2004,3586.85
12/11/2004,3607
16/11/2004,3649.15
17/11/2004,3720.65
18/11/2004,3772.55
19/11/2004,3728.55
22/11/2004,3718.35
23/11/2004,3783.3
24/11/2004,3809.05
25/11/2004,3811.7
29/11/2004,3876
30/11/2004,3884.55
01/12/2004,3946.35
02/12/2004,4057.05
03/12/2004,4056.7
06/12/2004,4040.45
07/12/2004,4034.45
08/12/2004,4021.95
